id,k,v,type
137278168.0,highway,turning_circle,tag
137279039.0,highway,turning_circle,tag
137279564.0,highway,turning_circle,tag
137280192.0,highway,turning_circle,tag
137280390.0,highway,turning_circle,tag
137280670.0,highway,turning_circle,tag
137280682.0,highway,turning_circle,tag
137280741.0,highway,turning_circle,tag
137280801.0,highway,turning_circle,tag
137281056.0,highway,turning_circle,tag
137282017.0,highway,turning_circle,tag
137282144.0,highway,turning_circle,tag
137282258.0,highway,turning_circle,tag
137282258.0,source,Bing,tag
137282347.0,noexit,yes,tag
137282468.0,highway,turning_circle,tag
137283029.0,highway,turning_circle,tag
137284155.0,highway,turning_circle,tag
137284160.0,highway,turning_circle,tag
137284758.0,highway,turning_circle,tag
137284758.0,source,Bing,tag
137286043.0,highway,turning_circle,tag
137286052.0,highway,turning_circle,tag
137286358.0,highway,turning_circle,tag
137286461.0,highway,turning_circle,tag
137286970.0,highway,turning_circle,tag
137287632.0,highway,turning_circle,tag
137287685.0,highway,turning_circle,tag
137288273.0,highway,turning_circle,tag
137288273.0,source,Yahoo,tag
137289193.0,highway,turning_circle,tag
137289250.0,highway,turning_circle,tag
137289663.0,highway,turning_circle,tag
137289854.0,highway,turning_circle,tag
137289989.0,highway,turning_circle,tag
137289989.0,source,Bing,tag
137290569.0,highway,turning_circle,tag
137290569.0,source,Yahoo,tag
137290745.0,highway,turning_circle,tag
137291461.0,highway,turning_circle,tag
137291467.0,highway,turning_circle,tag
137291750.0,highway,turning_circle,tag
137292509.0,highway,turning_circle,tag
137292586.0,highway,turning_circle,tag
137292864.0,highway,turning_circle,tag
137293143.0,highway,turning_circle,tag
137293266.0,highway,turning_circle,tag
137293615.0,highway,turning_circle,tag
137294323.0,highway,turning_circle,tag
137294780.0,highway,traffic_signals,tag
137294780.0,traffic_signals,signal,tag
137294834.0,highway,traffic_signals,tag
137294844.0,highway,traffic_signals,tag
137295022.0,highway,turning_circle,tag
137295514.0,highway,turning_circle,tag
137295514.0,source,Bing,tag
137296080.0,highway,turning_circle,tag
137296677.0,highway,turning_circle,tag
137297121.0,highway,turning_circle,tag
137297124.0,highway,turning_circle,tag
137297303.0,highway,turning_circle,tag
137297303.0,source,Bing,tag
137297532.0,highway,turning_circle,tag
137297785.0,highway,turning_circle,tag
137297855.0,highway,turning_circle,tag
137298040.0,highway,turning_circle,tag
137299410.0,highway,turning_circle,tag
137299625.0,highway,turning_circle,tag
137299688.0,highway,turning_circle,tag
137300231.0,highway,turning_circle,tag
137300311.0,highway,turning_circle,tag
137300311.0,source,Bing,tag
137300532.0,highway,turning_circle,tag
137301061.0,highway,turning_circle,tag
137301061.0,source,Bing,tag
137301360.0,highway,turning_circle,tag
137301464.0,highway,turning_circle,tag
137301781.0,highway,turning_circle,tag
137302141.0,highway,turning_circle,tag
137303040.0,highway,turning_circle,tag
137303405.0,highway,turning_circle,tag
137303468.0,highway,turning_circle,tag
137303468.0,source,Bing,tag
137303595.0,highway,turning_circle,tag
137303911.0,highway,turning_circle,tag
137303950.0,highway,turning_circle,tag
137304529.0,highway,turning_circle,tag
137305505.0,highway,turning_circle,tag
137305630.0,highway,turning_circle,tag
137305644.0,highway,turning_circle,tag
137305980.0,highway,turning_circle,tag
137306397.0,highway,turning_circle,tag
137306435.0,highway,turning_circle,tag
137306435.0,source,Bing,tag
137307274.0,highway,turning_circle,tag
137307778.0,highway,turning_circle,tag
137308037.0,highway,turning_circle,tag
137308213.0,highway,turning_circle,tag
137308213.0,source,Yahoo,tag
137308287.0,highway,turning_circle,tag
137308774.0,highway,crossing,tag
137308852.0,highway,turning_circle,tag
137308855.0,highway,turning_circle,tag
137309250.0,highway,turning_circle,tag
137309250.0,source,Yahoo,tag
137309481.0,noexit,yes,tag
137309630.0,highway,turning_circle,tag
137309638.0,highway,turning_circle,tag
137310675.0,highway,turning_circle,tag
137311004.0,highway,turning_circle,tag
137311004.0,source,Yahoo,tag
137311620.0,highway,turning_circle,tag
137311620.0,source,Bing,tag
137311946.0,highway,turning_circle,tag
137311992.0,highway,turning_circle,tag
137312082.0,highway,turning_circle,tag
137312089.0,highway,turning_circle,tag
137312901.0,highway,turning_circle,tag
137313081.0,highway,turning_circle,tag
137313313.0,highway,turning_circle,tag
137313343.0,highway,turning_circle,tag
137313383.0,highway,turning_circle,tag
137313475.0,highway,turning_circle,tag
137314300.0,highway,turning_circle,tag
137314448.0,highway,turning_circle,tag
137314482.0,highway,turning_circle,tag
137314732.0,highway,turning_circle,tag
137315187.0,highway,turning_circle,tag
137315731.0,highway,turning_circle,tag
137315737.0,highway,turning_circle,tag
137316349.0,highway,turning_circle,tag
137317237.0,highway,turning_circle,tag
137317453.0,highway,turning_circle,tag
137317457.0,highway,turning_circle,tag
137318534.0,highway,turning_circle,tag
137318663.0,highway,turning_circle,tag
137319327.0,highway,turning_circle,tag
137319372.0,highway,traffic_signals,tag
137319403.0,highway,traffic_signals,tag
137319406.0,highway,traffic_signals,tag
137319463.0,highway,turning_circle,tag
137319546.0,highway,turning_circle,tag
137320546.0,highway,turning_circle,tag
137320580.0,highway,turning_circle,tag
137320824.0,highway,turning_circle,tag
137320842.0,highway,turning_circle,tag
137321203.0,highway,turning_circle,tag
137321724.0,highway,turning_circle,tag
137321735.0,highway,turning_circle,tag
137321744.0,highway,turning_circle,tag
137321766.0,highway,turning_circle,tag
137322313.0,noexit,yes,tag
137323956.0,highway,turning_circle,tag
137324171.0,highway,turning_circle,tag
137324171.0,source,Bing,tag
137324303.0,highway,turning_circle,tag
137324868.0,highway,turning_circle,tag
137324868.0,source,Yahoo,tag
137325119.0,highway,turning_circle,tag
137325291.0,highway,turning_circle,tag
137325291.0,source,Bing,tag
137325814.0,highway,turning_circle,tag
137325814.0,source,Yahoo,tag
137326052.0,highway,turning_circle,tag
137326073.0,highway,turning_circle,tag
137326073.0,source,Bing,tag
137326196.0,highway,turning_circle,tag
137326196.0,source,Yahoo,tag
137326331.0,highway,turning_circle,tag
137326675.0,highway,turning_circle,tag
137326773.0,highway,turning_circle,tag
137326806.0,highway,turning_circle,tag
137326827.0,highway,turning_circle,tag
137327254.0,highway,turning_circle,tag
137327254.0,source,Yahoo,tag
137327334.0,highway,turning_circle,tag
137327522.0,highway,turning_circle,tag
137327522.0,source,Yahoo,tag
137329189.0,highway,turning_circle,tag
137329541.0,highway,turning_circle,tag
137329868.0,noexit,yes,tag
137330101.0,highway,traffic_signals,tag
137330101.0,traffic_signals,signal,tag
137330367.0,highway,turning_circle,tag
137330505.0,highway,turning_circle,tag
137331031.0,highway,turning_circle,tag
137332242.0,highway,turning_circle,tag
137332242.0,source,Yahoo,tag
137332697.0,noexit,yes,tag
137332714.0,highway,turning_circle,tag
137332915.0,highway,turning_circle,tag
137332923.0,highway,turning_circle,tag
137332923.0,source,Yahoo,tag
137332933.0,highway,turning_circle,tag
137332941.0,highway,turning_circle,tag
137332982.0,highway,turning_circle,tag
137333022.0,highway,turning_circle,tag
137333296.0,highway,turning_circle,tag
137333296.0,source,Yahoo,tag
137333971.0,highway,turning_circle,tag
137333996.0,highway,turning_circle,tag
137334019.0,highway,turning_circle,tag
137334241.0,highway,turning_circle,tag
137334306.0,highway,turning_circle,tag
137334310.0,highway,turning_circle,tag
137334455.0,highway,turning_circle,tag
137335023.0,highway,turning_circle,tag
137335038.0,highway,turning_circle,tag
137335395.0,highway,turning_circle,tag
137335416.0,highway,turning_circle,tag
137335429.0,highway,turning_circle,tag
137335544.0,highway,turning_circle,tag
137336337.0,highway,crossing,tag
137336989.0,noexit,yes,tag
137338444.0,highway,turning_circle,tag
137338744.0,noexit,yes,tag
137338964.0,highway,turning_circle,tag
137339016.0,highway,turning_circle,tag
137343450.0,highway,turning_circle,tag
137343511.0,highway,turning_circle,tag
137343511.0,source,Bing,tag
137343516.0,highway,turning_circle,tag
137344094.0,highway,turning_circle,tag
137344094.0,source,Yahoo,tag
137344158.0,highway,turning_circle,tag
137344207.0,highway,turning_circle,tag
